# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	134834
#@/user_id	662381a1-8689-44f9-85f4-86de7606dd45
a 	啊	c=680 d=1.29485 t=134775
wei 	尾	c=1 d=1 t=118394
wei 	巍	c=1 d=1 t=85196
wei 	微	c=0 d=0.1 t=115373
wei 	未	c=32 d=1.0367 t=73643
wei 	爲	c=178 d=1 t=129209
wei 	畏	c=1 d=1 t=58942
wei 	維	c=9 d=1.04369 t=115103
wei 	薇	c=1 d=1 t=96972
wei 	衛	c=1 d=1 t=111705
wei 	魏	c=3 d=1 t=111610
wei ba 	尾巴	c=3 d=1.98511 t=122122
wei bo 	圍脖	c=2 d=1 t=48285
wei bo 	微博	c=7 d=0.1 t=123478
wei bo jie kuan 	微博借款	c=2 d=1.99501 t=123480
wei bu 	尾部	c=1 d=1 t=94576
wei ci 	爲此	c=1 d=1 t=20058
wei dai 	微贷	c=2 d=1 t=67490
wei dai ma 	僞代碼	c=1 d=1 t=96061
wei dao 	味道	c=2 d=1 t=94604
wei dian 	微店	c=1 d=1 t=118417
wei du 	維度	c=9 d=1.82283 t=50947
wei fan 	餵飯	c=1 d=1 t=15994
wei fen 	微分	c=2 d=1.97531 t=38533
wei fu bu ren 	爲富不仁	c=1 d=1 t=55586
wei ge 	偉哥	c=1 d=1 t=106162
wei gui 	違規	c=1 d=1 t=121992
wei guo 	魏國	c=4 d=1 t=102904
wei guo ren 	魏國人	c=1 d=1 t=49894
wei hao 	尾号	c=11 d=2.1675 t=67943
wei he 	爲何	c=3 d=1 t=119267
wei hu 	維護	c=4 d=1 t=110602
wei huan kuan 	未還款	c=4 d=1 t=69772
wei hun qi 	未婚妻	c=1 d=1 t=69775
wei ji ji 	威基基	c=1 d=1 t=15428
wei jie 	未接	c=0 d=0.1 t=124890
wei jie dian hua 	未接電話	c=1 d=1 t=124891
wei jie tong 	未接通	c=1 d=1 t=9155
wei ju 	位居	c=1 d=1 t=56568
wei ju wei lai 	微聚未來	c=2 d=1 t=118119
wei lai 	未來	c=15 d=1 t=133279
wei lao 	未老	c=1 d=1 t=67690
wei le 	爲了	c=28 d=1.97531 t=109998
wei li 	爲例	c=2 d=1 t=42273
wei ling 	未領	c=1 d=1 t=54717
wei mao 	为毛	c=3 d=1 t=77695
wei mao 	伪冒	c=2 d=1 t=19143
wei mi 	萎靡	c=1 d=1 t=121027
wei mian 	爲免	c=1 d=1 t=54225
wei miao 	微妙	c=0 d=0.1 t=64564
wei ming ti 	伪命题	c=1 d=1 t=57233
wei nai 	餵奶	c=1 d=1 t=84005
wei nan 	爲難	c=1 d=1 t=19721
wei ni si 	威尼斯	c=1 d=1 t=109595
wei qi 	圍棋	c=1 d=1 t=90562
wei qi 	爲期	c=1 d=1 t=44718
wei qi shao nian 	圍棋少年	c=1 d=1 t=28284
wei qu 	委屈	c=2 d=1 t=128471
wei ruan 	微軟	c=30 d=1.34267 t=133426
wei ruan da sha 	微軟大廈	c=1 d=1 t=127523
wei sha 	爲啥	c=10 d=1 t=130720
wei she li 	威慑力	c=2 d=1 t=129108
wei shen me 	爲什麼	c=62 d=1.77623 t=131518
wei sheng 	衛生	c=2 d=1 t=89766
wei sheng jin 	衛生巾	c=1 d=1 t=87770
wei shi 	微視	c=1 d=1 t=24121
wei shi 	爲師	c=1 d=1 t=61684
wei shi yi wan 	爲時已晚	c=1 d=1 t=62943
wei shu 	位數	c=2 d=1.97045 t=54214
wei shu 	尾數	c=2 d=1.91393 t=60823
wei shu 	維數	c=1 d=1 t=14610
wei shu bu duo 	爲數不多	c=1 d=1 t=81494
wei tiao 	微調	c=1 d=1 t=37900
wei wai 	委外	c=7 d=2.41408 t=34472
wei wen 	维稳	c=1 d=1 t=16620
wei xian 	危險	c=1 d=1 t=113803
wei xian 	维险	c=2 d=0.1 t=94978
wei xiao 	围笑	c=2 d=1 t=132020
wei xie 	威脅	c=4 d=1 t=77488
wei xin 	微信	c=32 d=1 t=134122
wei xin hao 	微信號	c=1 d=1 t=128371
wei xin hao you 	微信好友	c=1 d=1 t=112623
wei xin zhi fu 	微信支付	c=2 d=1 t=34467
wei xu qiu 	僞需求	c=1 d=1 t=124741
wei yi 	位移	c=3 d=1 t=102232
wei yi 	唯一	c=18 d=1 t=132109
wei yi biao zhun 	唯一標準	c=1 d=1 t=21807
wei yu 	微語	c=1 d=1 t=10464
wei yu qi 	未逾期	c=2 d=1 t=27550
wei yuan 	委員	c=1 d=1 t=71876
wei yuan qing 	惟愿卿	c=0 d=0.1 t=18689
wei yuan qing an 	惟愿卿安	c=1 d=1 t=18690
wei yue 	違約	c=1 d=1 t=133410
wei zao 	僞造	c=3 d=2.80074 t=123991
wei zhe 	圍着	c=1 d=1 t=110937
wei zhi 	位置	c=66 d=1.00013 t=134810
wei zhi 	未知	c=3 d=1 t=124860
wei zhi 	爲止	c=2 d=1 t=107124
wei zhi shang 	位置上	c=1 d=1 t=17336
wei zhong 	微衆	c=3 d=1 t=53806
wei zhong 	爲重	c=1 d=1 t=81576
wei zhong xin 	爲中心	c=2 d=1.9802 t=7998
wei zhu 	爲主	c=3 d=1 t=134595
wei zhun 	爲準	c=1 d=1 t=107725
wei zong 	魏總	c=1 d=1 t=109326
wen 	吻	c=1 d=1 t=13020
wen 	問	c=66 d=1.00005 t=131375
wen 	穩	c=6 d=1 t=114347
wen 	紋	c=3 d=1.956 t=55481
wen 	聞	c=0 d=0.1 t=95361
wen an 	文案	c=4 d=1 t=126754
wen ben 	文本	c=19 d=1.99005 t=122985
wen biao 	溫標	c=1 d=1 t=86155
wen bu dao 	聞不到	c=1 d=1 t=95362
wen bu wen 	穩不穩	c=1 d=1 t=71511
wen da 	問答	c=2 d=1 t=126821
wen dang 	文檔	c=28 d=1 t=134696
wen dao 	問道	c=1 d=1 t=116547
wen de 	穩得	c=2 d=1 t=81470
wen de hen 	稳得很	c=4 d=1 t=134167
wen ding 	穩定	c=31 d=1 t=133014
wen ding xing 	穩定性	c=22 d=1 t=134724
wen ding yi xia 	穩定一下	c=1 d=1 t=115659
wen fa 	文法	c=1 d=1 t=11645
wen ge 	問個	c=1 d=1 t=64146
wen ge 	文哥	c=19 d=1 t=131354
wen guo 	問過	c=2 d=1 t=134112
wen hou 	問候	c=2 d=1 t=29469
wen hua 	文化	c=2 d=1 t=89814
wen huan 	文焕	c=0 d=0.1 t=45211
wen ji chu 	問基礎	c=1 d=1 t=8261
wen jian 	文件	c=145 d=4.37874 t=124147
wen jian jia 	文件夾	c=9 d=1.09117 t=67760
wen jian ming 	文件名	c=1 d=1 t=32023
wen jie 	文杰	c=65 d=2.1031 t=133635
wen le 	吻了	c=6 d=1.00009 t=81701
wen le 	問了	c=25 d=1.00003 t=134526
wen le 	稳了	c=23 d=1.00509 t=134275
wen meng qing 	溫夢卿	c=1 d=1 t=119689
wen ni 	問你	c=19 d=1.00029 t=132458
wen ni yi xie 	問你一些	c=1 d=1 t=47129
wen nuan 	溫暖	c=2 d=1 t=104011
wen qi 	問起	c=1 d=1 t=3935
wen qi lai 	問起來	c=1 d=1 t=78368
wen qi wo 	问起我	c=0 d=0.1 t=43617
wen qing chu 	問清楚	c=1 d=1 t=81668
wen quan 	溫泉	c=1 d=0.1 t=92710
wen quan guan 	溫泉館	c=1 d=1 t=92711
wen rou 	溫柔	c=1 d=1 t=79765
wen ru 	穩如	c=1 d=1 t=109241
wen rui 	文睿	c=2 d=1 t=19655
wen sha 	问啥	c=1 d=1 t=8260
wen shen 	紋身	c=5 d=1 t=121076
wen ta 	問他	c=5 d=1 t=130420
wen ti 	問題	c=333 d=1.00896 t=133368
wen ti bu da 	问题不大	c=19 d=1.00029 t=124968
wen ti de 	问题的	c=1 d=1 t=16442
wen ti hen da 	问题很大	c=1 d=1 t=114435
wen wen 	問問	c=43 d=1 t=134114
wen wo 	問我	c=18 d=1 t=130719
wen xian 	文獻	c=2 d=1 t=13834
wen xin 	溫馨	c=1 d=1 t=93300
wen yi 	文藝	c=2 d=1 t=84124
wen yi dian 	稳一点	c=1 d=1 t=121028
wen yi wen 	稳一稳	c=1 d=1 t=87298
wen yi wen 	问一问	c=1 d=1 t=23909
wen yi xia 	問一下	c=15 d=1 t=131140
wen yi xie 	稳一些	c=1 d=1 t=122140
wen yi zui 	問一嘴	c=1 d=1 t=106584
wen yuan 	文員	c=2 d=1.00001 t=62369
wen zha wen da 	穩扎穩打	c=2 d=1 t=109852
wen zhang 	文章	c=26 d=3.13745 t=133998
wen zhong 	穩重	c=1 d=1 t=26388
wen zhong dai pi 	穩中帶皮	c=2 d=1 t=87851
wen zhu 	穩住	c=5 d=1 t=127730
wen zi 	文字	c=3 d=1.00019 t=100654
wen zi 	蚊子	c=27 d=2.88854 t=88047
wen zi ji 	問自己	c=1 d=1 t=76300
weng 	甕	c=4 d=3.77068 t=133293
weng hong 	翁虹	c=1 d=1 t=83759
weng rui 	翁睿	c=2 d=1.00002 t=134521
wo 	我	c=5161 d=9.06016 t=134819
wo 	握	c=0 d=0.1 t=114260
wo ba 	我爸	c=2 d=1 t=66649
wo bu zhu 	握不住	c=1 d=1 t=114261
wo ca 	我擦	c=1 d=1 t=126659
wo cao 	握草	c=93 d=1.59393 t=119370
wo chi 	握持	c=1 d=1 t=113099
wo dao 	我倒	c=1 d=1 t=16890
wo de 	我的	c=1 d=1 t=4122
wo deng 	我等	c=1 d=1 t=70943
wo di 	臥底	c=1 d=1 t=86517
wo fa xian 	我发现	c=2 d=1 t=106128
wo fang 	我方	c=3 d=1 t=131832
wo gen 	我跟	c=1 d=1 t=12735
wo ha 	我哈	c=1 d=1 t=59933
wo hai 	我還	c=1 d=1 t=94751
wo hai dei 	我還得	c=1 d=1 t=100950
wo he 	我和	c=1 d=1 t=6825
wo hui jia 	我回家	c=1 d=1 t=12899
wo huo 	我活	c=1 d=1 t=30344
wo jia 	我家	c=4 d=1 t=114940
wo jie 	我姐	c=1 d=1 t=16679
wo jin tian 	我今天	c=1 d=1 t=17669
wo jue de 	我覺得	c=5 d=1 t=130617
wo kan 	我看	c=1 d=1 t=11335
wo kan kan 	我看看	c=2 d=1 t=62283
wo kao 	我靠	c=1 d=1 t=85115
wo ke neng 	我可能	c=2 d=1 t=132299
wo lai 	我來	c=1 d=1 t=85732
wo lai le 	我来了	c=3 d=1.99501 t=88901
wo le 	我了	c=0 d=0.1 t=72135
wo le ge tian 	我了個天	c=1 d=1 t=72136
wo li 	窩裏	c=1 d=1 t=103833
wo lia 	我倆	c=21 d=1 t=127418
wo liang 	我倆	c=2 d=1.70822 t=117130
wo ma 	我嗎	c=1 d=1 t=61257
wo mei 	我沒	c=1 d=1 t=4553
wo men 	我們	c=366 d=2.39749 t=134483
wo men jia 	我们家	c=6 d=1 t=95234
wo men lia 	我們倆	c=3 d=1 t=102827
wo men zhe 	我们这	c=1 d=1 t=13564
wo men zu 	我们组	c=5 d=1 t=51875
wo ne jiu 	我呢就	c=1 d=1 t=123700
wo qu 	我去	c=7 d=1 t=111590
wo ri 	我日	c=6 d=1 t=86574
wo shi 	我是	c=1 d=1 t=4904
wo shuo 	我說	c=1 d=1 t=131745
wo si 	我司	c=2 d=1.1678 t=6101
wo tou 	我透	c=64 d=1.00058 t=134554
wo wan 	我玩	c=0 d=0.1 t=30355
wo wan da ye 	我玩打野	c=1 d=1 t=30356
wo wu di 	我無敵	c=1 d=1 t=29684
wo xian zai 	我现在	c=1 d=1 t=4734
wo xiang 	我想	c=1 d=1 t=4179
wo ye bu zhi dao 	我也不知道	c=1 d=1 t=89125
wo yi jing 	我已经	c=2 d=1 t=129765
wo yi wei 	我以为	c=1 d=1 t=21368
wo you 	我有	c=3 d=1 t=36944
wo zai 	我在	c=1 d=1 t=11332
wo zhe 	我這	c=1 d=1 t=54211
wo zhe bian 	我这边	c=1 d=1 t=6615
wo zhi you 	我只有	c=1 d=1 t=4717
wo zhu 	握住	c=1 d=1 t=54980
word 	word	c=1 d=1 t=13853
wu 	五	c=4 d=1 t=70319
wu 	捂	c=1 d=1 t=45232
wu 	武	c=1 d=1 t=115181
wu 	污	c=1 d=1 t=23375
wu 	無	c=20 d=1.0002 t=134650
wu 	誤	c=2 d=1.00227 t=70604
wu ba 	五把	c=1 d=1 t=20567
wu bei 	吾輩	c=1 d=1 t=95179
wu bian jie 	無邊界	c=1 d=1 t=128971
wu bian xing 	五邊形	c=2 d=1 t=96346
wu bing shen yin 	無病呻吟	c=1 d=1 t=53274
wu bu 	舞步	c=0 d=0.1 t=90411
wu can 	午餐	c=1 d=1 t=35821
wu cha 	誤差	c=3 d=1 t=119290
wu chan jie ji 	無產階級	c=4 d=2.89449 t=22214
wu cong xia shou 	無從下手	c=1 d=1 t=68584
wu dao 	舞蹈	c=1 d=1 t=44578
wu dao 	誤導	c=1 d=1 t=52215
wu dao kou 	五道口	c=2 d=1 t=104088
wu di 	無敵	c=56 d=1 t=133827
wu di yu 	無敵於	c=1 d=1 t=116286
wu dian 	五點	c=3 d=1.03005 t=73149
wu dian ban 	五点半	c=4 d=1 t=109354
wu dian le 	五点了	c=1 d=1 t=83074
wu du 	霧都	c=1 d=1 t=64771
wu fa 	五法	c=7 d=1 t=102043
wu fa 	吳法	c=1 d=1 t=99083
wu fa 	無法	c=36 d=1 t=122089
wu fa kai ji 	無法開機	c=1 d=1 t=74394
wu fan 	午飯	c=2 d=0.1 t=92308
wu fan ju 	午飯局	c=1 d=1 t=81962
wu fan qian 	午飯前	c=1 d=1 t=92309
wu fen zhong 	五分鐘	c=1 d=1 t=97655
wu feng hai 	吳峯海	c=2 d=1.97045 t=100843
wu ge 	五個	c=2 d=1 t=82789
wu ge ren 	五個人	c=1 d=1 t=90784
wu guan 	五官	c=2 d=1 t=88060
wu guan 	無關	c=2 d=1 t=103648
wu hao 	五號	c=0 d=0.1 t=2027
wu hao wei 	五號位	c=1 d=1 t=2028
wu hou ci 	武侯祠	c=1 d=1 t=64773
wu hu jiang 	五虎將	c=1 d=1 t=66449
wu hua 	無華	c=1 d=1 t=104826
wu hui 	誤會	c=2 d=1 t=78236
wu ji chu 	無基礎	c=2 d=1.9802 t=1945
wu jia 	無價	c=1 d=1 t=107574
wu jian dao 	無間道	c=3 d=1.00005 t=85762
wu jian du 	无监督	c=2 d=1 t=93130
wu jiao 	午覺	c=1 d=1 t=22006
wu jin 	無盡	c=1 d=1 t=110661
wu ju 	五局	c=1 d=1 t=103539
wu ke lan 	烏克蘭	c=1 d=1 t=87308
wu kuai 	五塊	c=1 d=1 t=61830
wu kuai qian 	五塊錢	c=1 d=1 t=61731
wu lai 	無賴	c=1 d=1 t=87315
wu lao dong 	無勞動	c=1 d=1 t=133413
wu le 	污了	c=1 d=1 t=122769
wu lei 	武磊	c=3 d=1 t=110954
wu li 	無理	c=1 d=1 t=128502
wu li 	物理	c=7 d=1 t=104991
wu li han yi 	物理含义	c=1 d=1 t=14660
wu li ji qi 	物理机器	c=1 d=1 t=47878
wu li shang hai 	物理伤害	c=1 d=1 t=21764
wu li tou 	無厘頭	c=1 d=1 t=108328
wu lian bai 	五连败	c=1 d=1 t=84157
wu lian sheng 	五连胜	c=1 d=1 t=116503
wu liao 	無聊	c=2 d=1 t=133899
wu liao de 	无聊的	c=1 d=1 t=68312
wu lin 	武林	c=0 d=0.1 t=95754
wu lin qun xia zhuan 	武林羣俠傳	c=2 d=1 t=106274
wu ling 	武陵	c=1 d=1 t=94514
wu liu 	五六	c=0 d=0.1 t=113235
wu liu 	物流	c=1 d=1 t=11530
wu liu bu 	五六部	c=1 d=1 t=113236
wu liu nian 	五六年	c=1 d=1 t=101285
wu lou 	五樓	c=4 d=1 t=123079
wu lun 	無論	c=5 d=1.28939 t=132262
wu lun shi 	无论是	c=1 d=1 t=54931
wu mai 	雾霾	c=2 d=1 t=128616
wu mei 	嫵媚	c=1 d=1 t=99930
wu mei 	物美	c=1 d=1 t=99931
wu ming 	五名	c=1 d=1 t=28441
wu nai 	無奈	c=1 d=1 t=86967
wu nao 	無腦	c=1 d=1 t=30393
wu nian 	五年	c=1 d=1 t=126729
wu pai 	五排	c=78 d=1 t=132147
wu pai che 	五排車	c=2 d=1 t=133012
wu qi 	武器	c=1 d=1 t=101128
wu qi xie 	无器械	c=1 d=1 t=119621
wu qing 	無情	c=8 d=1 t=121838
wu qiong 	無窮	c=0 d=0.1 t=23883
wu qiong duo 	無窮多	c=1 d=1 t=23884
wu qiong wu jin 	無窮無盡	c=1 d=1 t=22019
wu se 	物色	c=1 d=1 t=16755
wu seng 	武僧	c=1 d=1 t=119067
wu sha 	五杀	c=9 d=1 t=119800
wu shan 	误删	c=2 d=1.94176 t=76998
wu shang 	誤傷	c=1 d=1 t=6714
wu shi 	巫師	c=2 d=1 t=113013
wu shi 	武士	c=1 d=1 t=40691
wu shi 	無視	c=3 d=1 t=80330
wu shi cai jing 	巫師財經	c=1 d=1 t=110523
wu shi di xing 	無視地形	c=1 d=1 t=18370
wu shou yi 	无收益	c=1 d=1 t=65169
wu shou yu 	無首逾	c=1 d=1 t=14028
wu shuang 	無雙	c=1 d=1 t=110660
wu shui 	午睡	c=2 d=1.10861 t=11934
wu suo wei 	無所謂	c=7 d=1 t=133560
wu tai 	五臺	c=1 d=1 t=63882
wu tai 	舞臺	c=1 d=1 t=23069
wu ti 	物體	c=1 d=1 t=119195
wu tian 	吳天	c=1 d=1 t=98019
wu tian 	無天	c=1 d=1 t=96749
wu wu kai 	五五开	c=7 d=1 t=82798
wu wu wu 	嗚嗚嗚	c=1 d=1 t=66192
wu xi 	吳曦	c=2 d=1 t=110959
wu xian 	無線	c=1 d=1 t=46453
wu xian 	無限	c=5 d=1.00002 t=103373
wu xian lian 	无限连	c=0 d=0.1 t=110968
wu xian yi jin 	五險一金	c=5 d=1 t=123746
wu xiang 	無向	c=1 d=1 t=108537
wu xiao 	無效	c=3 d=1 t=57572
wu xing 	五星	c=4 d=3.35266 t=71879
wu xiu 	午休	c=5 d=1 t=114064
wu xu 	無序	c=1 d=1 t=56389
wu ya 	烏鴉	c=1 d=1 t=13317
wu ya li 	無壓力	c=1 d=1 t=56799
wu ya zui 	烏鴉嘴	c=0 d=0.1 t=120903
wu ya zui fei ji 	烏鴉嘴飛機	c=1 d=1 t=120904
wu yao 	巫妖	c=1 d=1 t=22302
wu ye 	物業	c=1 d=1 t=132048
wu yi 	五億	c=3 d=1 t=119194
wu yi 	巫醫	c=1 d=1 t=22307
wu yi 	無疑	c=1 d=1 t=82462
wu yi fan 	吴亦凡	c=3 d=1 t=77373
wu yi wei 	誤以爲	c=1 d=1 t=116405
wu ying xiang 	无影响	c=1 d=1 t=22090
wu yu 	無語	c=1 d=1 t=116735
wu yue 	五月	c=1 d=1 t=12571
wu yue tian 	五月天	c=8 d=1.87373 t=78211
wu ze tian 	武則天	c=18 d=2.17151 t=111659
wu zhou nian 	五週年	c=2 d=1.81058 t=77391
wu zhu 	無助	c=1 d=1 t=132762
xi 	吸	c=8 d=1.0001 t=82177
xi 	喜	c=2 d=1.09512 t=107156
xi 	息	c=4 d=1 t=111149
xi 	戲	c=1 d=1 t=52983
xi 	析	c=1 d=1 t=19808
xi 	洗	c=8 d=1 t=118543
xi 	溪	c=1 d=1 t=77017
xi 	系	c=9 d=1.90937 t=127992
xi 	細	c=2 d=1 t=104452
xi 	西	c=1 d=1 t=67916
xi ba lian 	洗把臉	c=2 d=1 t=41186
xi ban ya 	西班牙	c=1 d=1 t=15424
xi bao 	細胞	c=1 d=1.1 t=119487
xi bei 	西北	c=1 d=1 t=134194
xi bei zi 	洗被子	c=1 d=1 t=84289
xi bian 	西邊	c=1 d=1 t=53355
xi bu bai 	洗不白	c=1 d=1 t=54202
xi dao 	吸到	c=1 d=1 t=53836
xi de 	吸得	c=1 d=1 t=76898
xi di 	洗滌	c=1 d=1 t=46561
xi diao 	洗掉	c=1 d=1 t=55477
xi diao yu tai 	西钓鱼台	c=1 d=1 t=99891
xi er qi 	西二旗	c=2 d=1.19889 t=134501
xi fen 	細分	c=2 d=1 t=125804
xi feng 	西鳳	c=1 d=1 t=68484
xi fu 	媳婦	c=31 d=1.94176 t=129561
xi fu bu zai jia 	媳婦不在家	c=1 d=1 t=71286
xi ge zao 	洗个澡	c=2 d=1 t=97401
xi gua 	西瓜	c=1 d=1 t=126406
xi guan 	習慣	c=8 d=1 t=130246
xi guan le 	习惯了	c=1 d=1 t=121122
xi guang min 	息光敏	c=1 d=1 t=13604
xi ha 	嘻哈	c=2 d=1 t=53369
xi hao 	洗好	c=1 d=1 t=99885
xi hong shi 	西紅柿	c=2 d=1 t=80918
xi hua 	細化	c=3 d=1 t=46172
xi huan 	喜歡	c=41 d=1.00071 t=133844
xi ji wang 	西集網	c=1 d=1 t=19324
xi jiao 	洗腳	c=0 d=0.1 t=122757
xi jiao shui 	洗腳水	c=1 d=1 t=122758
xi jie 	細節	c=24 d=1.01769 t=130213
xi jie 	西街	c=2 d=1 t=109636
xi jie shang 	细节上	c=1 d=1 t=96910
xi jun 	細菌	c=1 d=1 t=115046
xi la 	希臘	c=1 d=1 t=30663
xi lai 	襲來	c=1 d=1 t=101559
xi le 	吸了	c=1 d=1 t=21317
xi li 	喜離	c=4 d=1 t=36138
xi lian 	洗臉	c=1 d=1 t=86139
xi lian cun 	西联村	c=1 d=1 t=132951
xi liao 	細聊	c=7 d=1 t=125659
xi lie 	系列	c=6 d=1 t=108393
xi ma la ya 	喜馬拉雅	c=2 d=1.93239 t=69271
xi mao 	吸貓	c=1 d=1 t=113756
xi na 	吸納	c=2 d=1 t=84492
xi nao 	洗腦	c=1 d=1 t=87613
xi pai 	洗牌	c=2 d=1 t=72338
xi pan 	吸盤	c=1 d=1 t=26449
xi qu 	西區	c=1 d=0.1 t=70911
xi que 	稀缺	c=1 d=1 t=112998
xi san huan 	西三环	c=1 d=1 t=52348
xi sha 	西沙	c=1 d=0.1 t=70911
xi sha xi qu 	西沙西區	c=1 d=1 t=70912
xi shan 	西山	c=1 d=1 t=104162
xi shi 	喜事	c=1 d=1 t=33407
xi shi 	稀釋	c=2 d=1 t=125459
xi shi 	西施	c=3 d=2.63521 t=91166
xi shi zhen bao 	稀世珍寶	c=1 d=1 t=123499
xi shou 	吸收	c=4 d=1 t=96016
xi shou 	洗手	c=1 d=1 t=97764
xi shu 	係數	c=3 d=1 t=119821
xi shu 	洗漱	c=1 d=1 t=62453
xi shu 	洗潄	c=0 d=0.1 t=62443
xi shu 	稀疏	c=16 d=1 t=119701
xi shu 	細數	c=1 d=1 t=48832
xi shu bao 	洗潄包	c=3 d=2.95084 t=62452
xi shuo 	細說	c=1 d=1 t=22515
xi su 	習俗	c=4 d=1 t=133296
xi tan 	細談	c=1 d=1 t=60989
xi tang 	喜糖	c=1 d=1 t=14164
xi ti 	喜提	c=1 d=1 t=80904
xi tong 	系統	c=26 d=0.100009 t=134562
xi tong de 	系统的	c=1 d=1 t=45585
xi tu gu 	稀土鈷	c=1 d=1 t=68068
xi wan 	吸完	c=1 d=1 t=72298
xi wan 	洗完	c=1 d=1 t=72299
xi wan 	洗碗	c=5 d=1 t=105485
xi wang 	希望	c=21 d=1.90937 t=133297
xi wo 	吸我	c=1 d=1 t=82184
xi xi 	嘻嘻	c=1 d=1 t=43589
xi xi xi 	嘻嘻嘻	c=1 d=1 t=80785
xi xi xiang guan 	息息相關	c=1 d=1 t=5096
xi xue 	吸血	c=7 d=1 t=112251
xi xue dao 	吸血刀	c=2 d=1.94176 t=103359
xi xue shu 	吸血书	c=2 d=1.956 t=57683
xi ya 	洗牙	c=1 d=1 t=2738
xi yang 	夕陽	c=1 d=1 t=25422
xi yang xia 	夕阳下	c=1 d=1 t=59891
xi yi 	蜥蜴	c=2 d=1.956 t=101126
xi yi fu 	洗衣服	c=3 d=1.84366 t=100785
xi yi xi 	洗一洗	c=2 d=1 t=107542
xi yi xia 	洗一下	c=1 d=1 t=120648
xi yi ye 	洗衣液	c=1 d=1 t=44747
xi yin 	吸引	c=6 d=1 t=129434
xi yin li 	吸引力	c=1 d=1 t=55476
xi yin ni 	吸引你	c=1 d=1 t=11504
xi you 	稀有	c=1 d=1 t=57317
xi you ji 	西遊記	c=2 d=1.99005 t=61461
xi yue 	喜悅	c=1 d=1 t=108237
xi zang 	西藏	c=4 d=1 t=106478
xi zao 	洗澡	c=20 d=1.00036 t=127923
xi zhong xi 	細中細	c=1 d=1 t=57605
xi zhu 	吸住	c=1 d=1 t=33138
xi zhuang 	西狀	c=1 d=1 t=34655
xia 	下	c=82 d=1.92221 t=132007
xia 	俠	c=2 d=1 t=115551
xia 	嚇	c=1 d=1 t=111243
xia 	瞎	c=3 d=0.1 t=53155
xia 	蝦	c=2 d=1.81873 t=111580
xia 	霞	c=1 d=1 t=24577
xia ai 	狹隘	c=2 d=1.9802 t=126573
xia an pai 	瞎安排	c=1 d=1 t=53156
xia ba 	下把	c=3 d=1 t=102918
xia ban 	下班	c=15 d=1.3217 t=128279
xia ban la 	下班啦	c=1 d=1 t=92749
xia ban qian 	下班前	c=1 d=1 t=2020
xia ban shi jian 	下班時間	c=1 d=1 t=92989
xia bi 	瞎比	c=5 d=1 t=120306
xia bi bi 	瞎比比	c=1 d=1 t=44010
xia biao 	下標	c=4 d=3.72404 t=93769
xia bu liao 	下不了	c=1 d=1 t=127653
xia che 	下車	c=9 d=1 t=118735
xia che dan 	瞎扯蛋	c=1 d=1 t=25666
xia chen 	下沉	c=1 d=1 t=116877
xia ci 	下次	c=27 d=1 t=131847
xia ci 	瑕疵	c=3 d=1 t=110758
xia da 	廈大	c=1 d=1 t=51709
xia da 	瞎打	c=2 d=1.94649 t=22557
xia dan 	下單	c=2 d=1 t=92953
xia de 	嚇得	c=1 d=1 t=126700
xia ding lun 	下定論	c=1 d=1 t=119684
xia fan 	下凡	c=1 d=1 t=118842
xia fang 	下放	c=1 d=1 t=40222
xia fen 	下分	c=4 d=1 t=120939
xia gao 	瞎搞	c=1 d=1 t=53148
xia ge 	下個	c=1 d=1 t=115672
xia ge yue 	下個月	c=6 d=1 t=114254
xia gu 	峽谷	c=78 d=1.55303 t=128967
xia guo 	下過	c=0 d=0.1 t=120594
xia guo ban 	下過班	c=1 d=1 t=120595
xia hou 	夏侯	c=12 d=1 t=106142
xia hu 	嚇唬	c=0 d=0.1 t=14175
xia hu ren 	嚇唬人	c=1 d=1 t=14176
xia hua 	下滑	c=1 d=1 t=22318
xia huai 	嚇壞	c=2 d=1 t=122557
xia ji ba 	瞎几把	c=2 d=0.102102 t=116857
xia ji ba gao 	瞎几把搞	c=1 d=1 t=116858
xia jia 	下家	c=3 d=1 t=134477
xia jia 	下架	c=2 d=1.98511 t=96508
xia jiang 	下降	c=25 d=1 t=109947
xia jiang kong jian 	下降空間	c=1 d=1 t=29820
xia ju 	下局	c=1 d=1 t=84268
xia lai 	下來	c=8 d=1.00016 t=124498
xia le 	下了	c=3 d=1 t=116487
xia lou 	下樓	c=8 d=1 t=55242
xia lu 	下路	c=21 d=1 t=114452
xia mi 	蝦米	c=4 d=1 t=76098
xia mi yin yue 	蝦米音樂	c=1 d=1 t=69297
xia mian 	下麪	c=12 d=1 t=120373
xia niao 	吓尿	c=2 d=1 t=92090
xia pao 	嚇跑	c=0 d=0.1 t=48936
xia pao le 	嚇跑了	c=2 d=1 t=120347
xia pu 	下鋪	c=0 d=0.1 t=80808
xia qi 	下棋	c=12 d=1 t=114364
xia qu 	下去	c=15 d=1 t=122873
xia ren 	嚇人	c=12 d=1.99501 t=92938
xia sai ji 	下赛季	c=3 d=1.00075 t=96485
xia sha 	嚇傻	c=1 d=1 t=116533
xia shan 	下山	c=1 d=1 t=31288
xia shu 	下屬	c=1 d=1 t=107383
